Date,GLD,USO,SLV,SPX,EUR_USD
04-10-2014,1320.099976,103.4000015,20.07799911,1833.079956,1.3855021
04-11-2014,1318.699951,103.7399979,19.93300056,1815.689941,1.388638139
05-01-2014,1283.099976,99.41999817,18.98900032,1883.680054,1.386924148
05-02-2014,1302.599976,99.76000214,19.49200058,1881.140015,1.387097239
05-05-2014,1309,99.48000336,19.52000046,1884.660034,1.387270451
05-06-2014,1308.300049,99.5,19.59799957,1867.719971,1.38759768
05-07-2014,1288.599976,100.7699966,19.29800034,1878.209961,1.393068075
05-08-2014,1287.400024,100.2600021,19.09399986,1875.630005,1.391168952
05-09-2014,1287.300049,99.98999786,19.07699966,1878.47998,1.384427905
05-12-2014,1295.599976,100.5899963,19.5,1896.650024,1.376064658
06-02-2014,1243.699951,102.4700012,18.70899963,1924.969971,1.362806201
06-03-2014,1244.300049,102.6600037,18.73200035,1924.23999,1.35989666
06-04-2014,1244,102.6399994,18.76600075,1927.880005,1.36210084
06-05-2014,1253,102.4800034,19.05500031,1940.459961,1.360414624
06-06-2014,1252.099976,102.6600037,18.96299934,1949.439941,1.366194844
06-09-2014,1253.5,104.4100037,19.04500008,1951.27002,1.364293694
06-10-2014,1259.800049,104.3499985,19.14699936,1950.790039,1.359268188
06-11-2014,1260.800049,104.4000015,19.15399933,1943.890015,1.354096174
06-12-2014,1273.599976,106.5299988,19.51499939,1930.109985,1.353711247
07-01-2014,1326.400024,105.3399963,21.06699944,1973.319946,1.369356513
07-02-2014,1330.699951,104.4800034,21.25399971,1974.619995,1.368082643
07-03-2014,1320.400024,104.0599976,21.0890007,1985.439941,1.365299582
07-07-2014,1316.5,103.5299988,20.9659996,1977.650024,1.358843327
07-08-2014,1316,103.4000015,20.96699905,1963.709961,1.360618234
07-09-2014,1323.800049,102.2900009,21.02199936,1972.829956,1.361711383
07-10-2014,1338.699951,102.9300003,21.45899963,1964.680054,1.364293694
07-11-2014,1337,100.8300018,21.4109993,1967.569946,1.36050725
08-01-2014,1293.599976,97.87999725,20.33200073,1925.150024,1.338992834
08-04-2014,1287.699951,98.29000092,20.19400024,1938.98999,1.342894673
08-05-2014,1284,97.37999725,19.79400063,1920.209961,1.342209816
08-06-2014,1306.699951,96.91999817,19.98500061,1920.23999,1.337238073
08-07-2014,1310.800049,97.33999634,19.95100021,1909.569946,1.338294029
08-08-2014,1308.900024,97.65000153,19.90200043,1931.589966,1.335826874
08-11-2014,1308.5,98.08000183,20.05999947,1936.920044,1.340518475
08-12-2014,1308.800049,97.37000275,19.87000084,1933.75,1.338490963
09-02-2014,1263.699951,92.87999725,19.07099915,2002.280029,1.313197613
09-03-2014,1268.900024,95.54000092,19.1079998,2000.719971,1.313197613
09-04-2014,1265.099976,94.44999695,19.06399918,1997.650024,1.315097332
09-05-2014,1265.800049,93.29000092,19.08200073,2007.709961,1.293276191
09-08-2014,1252.699951,92.66000366,18.88699913,2001.540039,1.295336723
09-09-2014,1246.800049,92.75,18.84399986,1988.439941,1.289108276
09-10-2014,1243.5,91.66999817,18.8560009,1995.689941,1.294196844
09-11-2014,1237.400024,92.83000183,18.53300095,1997.449951,1.291705966
09-12-2014,1229.900024,92.26999664,18.54599953,1985.540039,1.292356968
10-01-2014,1214.599976,90.73000336,17.20999908,1946.160034,1.262833595
10-02-2014,1214.199951,91.01000214,17.00099945,1946.170044,1.262419105
10-03-2014,1192.199951,89.73999786,16.78000069,1967.900024,1.267057776
10-06-2014,1206.699951,90.33999634,17.18000031,1964.819946,1.251360774
10-07-2014,1211.699951,88.84999847,17.19099998,1935.099976,1.264606237
10-08-2014,1205.300049,87.30999756,17.01499939,1968.890015,1.26680088
10-09-2014,1224.599976,85.76999664,17.36700058,1928.209961,1.274307489
10-10-2014,1221,85.81999969,17.25200081,1906.130005,1.268906713
11-03-2014,1169.400024,78.77999878,16.17499924,2017.810059,1.250312567
11-04-2014,1167.400024,77.19000244,15.92700005,2012.099976,1.249593854
11-05-2014,1145.400024,78.68000031,15.41800022,2023.569946,1.255256414
11-06-2014,1142.300049,77.91000366,15.3920002,2031.209961,1.248003125
11-07-2014,1169.599976,78.65000153,15.69900036,2031.920044,1.23800683
11-10-2014,1159.599976,77.40000153,15.65699959,2038.26001,1.246137023
11-11-2014,1162.800049,77.94000244,15.66399956,2039.680054,1.24299264
11-12-2014,1158.900024,77.18000031,15.61900043,2038.25,1.247582912
12-01-2014,1218,69,16.64800072,2053.439941,1.243827581
12-02-2014,1199.199951,66.87999725,16.40800095,2066.550049,1.247007132
12-03-2014,1208.5,67.37999725,16.35899925,2074.330078,1.238850355
12-04-2014,1207.5,66.80999756,16.52000046,2071.919922,1.231663704
12-05-2014,1190.099976,65.83999634,16.19599915,2075.370117,1.238666177
12-08-2014,1194.699951,63.04999924,16.2159996,2060.310059,1.22940743
12-09-2014,1231.5,63.81999969,17.08099937,2059.820068,1.23151195
12-10-2014,1228.900024,60.93999863,17.13299942,2026.140015,1.239495277
12-11-2014,1225.099976,59.95000076,17.05900002,2035.329956,1.247395992
12-12-2014,1222,57.81000137,17.0189991,2002.329956,1.239495277
01-02-2015,1186,52.68999863,15.73400021,2058.199951,1.20894134
01-05-2015,1203.900024,50.04000092,16.17900085,2020.579956,1.194643259
01-06-2015,1219.300049,47.93000031,16.60300064,2002.609985,1.193901539
01-07-2015,1210.599976,48.65000153,16.51000023,2025.900024,1.187535644
01-08-2015,1208.400024,48.79000092,16.35099983,2062.139893,1.183600068
01-09-2015,1216,48.36000061,16.38599968,2044.810059,1.179606915
01-12-2015,1232.699951,46.06999969,16.53499985,2028.26001,1.18707037
02-02-2015,1276.199951,49.56999969,17.23500061,2020.849976,1.130901933
02-03-2015,1259.699951,53.04999924,17.30500031,2050.030029,1.134172678
02-04-2015,1263.800049,48.45000076,17.37899971,2041.51001,1.145737886
02-05-2015,1262,50.47999954,17.18000031,2062.52002,1.131874681
02-06-2015,1233.900024,51.68999863,16.6779995,2055.469971,1.147196889
02-09-2015,1240.800049,52.86000061,17.05400085,2046.73999,1.131439328
02-10-2015,1231.599976,50.02000046,16.85700035,2068.590088,1.132695317
02-11-2015,1219,48.84000015,16.74500084,2068.530029,1.132195115
02-12-2015,1220.099976,51.20999908,16.77799988,2088.47998,1.131196141
03-02-2015,1207.699951,49.59000015,16.40699959,2117.389893,1.116196036
03-03-2015,1204,50.52000046,16.25799942,2107.780029,1.117905498
03-04-2015,1200.599976,51.52999878,16.13199997,2098.530029,1.118217945
03-05-2015,1195.900024,50.75999832,16.13199997,2101.040039,1.10820508
03-06-2015,1164.099976,49.61000061,15.7840004,2071.26001,1.103204846
03-09-2015,1166.400024,50,15.75500011,2079.429932,1.08459866
03-10-2015,1160.099976,48.29000092,15.61299992,2044.160034,1.083341479
03-11-2015,1150.699951,48.16999817,15.34500027,2040.23999,1.070870161
03-12-2015,1152.099976,47.04999924,15.49300003,2065.949951,1.054874539
04-01-2015,1208.099976,50.09000015,17.04400063,2059.689941,1.073814034
04-02-2015,1200.900024,49.13999939,16.68600082,2066.959961,1.0769943
04-06-2015,1218.599976,52.13999939,17.09499931,2080.620117,1.100134254
04-07-2015,1210.599976,53.97999954,16.82500076,2076.330078,1.093481779
04-08-2015,1203.099976,50.41999817,16.44000053,2081.899902,1.082415104
04-09-2015,1193.599976,50.79000092,16.16399956,2091.179932,1.07852757
04-10-2015,1204.599976,51.63999939,16.37000084,2102.060059,1.066905618
05-01-2015,1174.5,59.15000153,16.11100006,2108.290039,1.121465921
05-04-2015,1186.800049,58.93000031,16.41799927,2114.48999,1.118593216
05-05-2015,1193.199951,60.40000153,16.55699921,2089.459961,1.114914179
05-06-2015,1190.300049,60.93000031,16.48399925,2080.149902,1.118630767
05-07-2015,1182.400024,58.93999863,16.27199936,2088,1.134146929
05-08-2015,1189.099976,59.38999939,16.44199944,2116.100098,1.124694943
05-11-2015,1183.199951,59.25,16.29800034,2105.330078,1.119407177
05-12-2015,1192.599976,60.75,16.51000023,2099.120117,1.114441991
06-01-2015,1188.300049,60.20000076,16.66399956,2111.72998,1.09579432
06-02-2015,1194.099976,61.25999832,16.78300095,2109.600098,1.092299342
06-03-2015,1184.699951,59.63999939,16.4640007,2114.070068,1.115001202
06-04-2015,1174.900024,58,16.0890007,2095.840088,1.125783801
06-05-2015,1167.800049,59.13000107,15.97099972,2092.830078,1.120787263
06-08-2015,1173.199951,58.13999939,15.95100021,2079.280029,1.110814929
06-09-2015,1177.300049,60.13999939,15.94900036,2080.149902,1.128095269
06-10-2015,1186.099976,61.43000031,15.95199966,2105.199951,1.129905224
06-11-2015,1179.900024,60.77000046,15.95300007,2108.860107,1.131196141
06-12-2015,1178.800049,59.95999908,15.81799984,2094.110107,1.124062777
07-01-2015,1169,56.95999908,15.55200005,2077.419922,1.113498926
07-02-2015,1163,56.93000031,15.5369997,2076.780029,1.103363037
07-06-2015,1172.900024,52.52999878,15.72599983,2068.76001,1.099505186
07-07-2015,1152.400024,52.33000183,14.94999981,2081.340088,1.104899168
07-08-2015,1163.300049,51.65000153,15.14700031,2046.680054,1.100994229
07-09-2015,1159,52.77999878,15.34500027,2051.310059,1.107100964
07-10-2015,1157.699951,52.74000168,15.46800041,2076.620117,1.106304884
08-03-2015,1089.400024,45.16999817,14.51599979,2098.040039,1.096900105
08-04-2015,1090.699951,45.74000168,14.55000019,2093.320068,1.095602274
08-05-2015,1085.699951,45.15000153,14.54599953,2099.840088,1.088897586
08-06-2015,1090.199951,44.65999985,14.67000008,2083.560059,1.090310454
08-07-2015,1094.099976,43.86999893,14.81599998,2077.570068,1.092705131
08-10-2015,1104.199951,44.95999908,15.28899956,2104.179932,1.096503258
08-11-2015,1107.599976,43.08000183,15.28100014,2084.070068,1.101697683
08-12-2015,1123.199951,43.29999924,15.47299957,2086.050049,1.104203701
09-01-2015,1138.699951,45.40999985,14.61299992,1913.849976,1.122586489
09-02-2015,1132.5,46.25,14.66100025,1948.859985,1.129343748
09-03-2015,1123.699951,46.75,14.70199966,1951.130005,1.121604323
09-04-2015,1120.599976,46.04999924,14.54399967,1921.219971,1.112594604
09-08-2015,1120.400024,45.93999863,14.75,1969.410034,1.116395473
09-09-2015,1102.199951,44.15000153,14.56799984,1942.040039,1.120736957
09-10-2015,1109.5,45.91999817,14.63399982,1952.290039,1.122069955
09-11-2015,1103.5,44.63000107,14.48999977,1961.050049,1.129088759
10-01-2015,1114.199951,44.74000168,14.50599957,1923.819946,1.117206097
10-02-2015,1137.099976,45.54000092,15.25699997,1951.359985,1.119344473
10-05-2015,1138.099976,46.25999832,15.70199966,1987.050049,1.122699857
10-06-2015,1146.800049,48.52999878,15.97900009,1979.920044,1.119519949
10-07-2015,1149,47.81000137,16.08799934,1995.829956,1.12679863
10-08-2015,1144.699951,49.43000031,15.76000023,2013.430054,1.123999596
10-09-2015,1156.300049,49.63000107,15.80900002,2014.890015,1.128693581
10-12-2015,1164.900024,47.09999847,15.85499954,2017.459961,1.136996746
11-02-2015,1135.800049,46.13999939,15.41300011,2104.050049,1.102596641
